Date,Week,Age,Gender,Hospitalization,Intensive_Care,Deaths,2nd_Vac,Lockdown-Intensity
2020-12-31,53.0,47.63201314728836,0.4425678378441575,15077.619047619048,5622.0,829.5714285714286,0.0,3
2021-01-10,53.0,47.483554136177204,0.44245467239705344,14955.42857142857,5300.0,817.4285714285714,0.0,3
2021-01-11,53.0,47.335095125066054,0.44278110848700464,14975.333333333334,5267.0,818.7142857142857,0.0,3
2021-01-12,53.0,47.18663611395491,0.4435471461140109,14981.619047619048,5209.0,871.0,0.0,3
2021-01-13,53.0,47.03817710284376,0.4447527852780725,14905.333333333334,5164.0,881.7142857142857,0.0,3
2021-01-14,2.0,47.155130414009996,0.4463980259791892,14800.857142857143,5104.0,838.5714285714286,0.0,3
2021-01-14,2.0,44.86472072676354,0.4543848841698142,14659.904761904761,5104.0,790.1428571428571,0.0,3
2021-01-15,2.0,43.03144332196299,0.46163793112774726,14499.238095238095,5050.0,796.2857142857143,0.0011055069221394122,3
2021-01-16,2.0,41.79659486392028,0.4677175653159331,14215.42857142857,4992.0,812.5714285714286,0.0025767092788058985,3
2021-01-17,2.0,40.85794803829452,0.4726237867343718,13976.190476190475,4950.0,774.8571428571429,0.02305084183028881,3
2021-01-18,2.0,40.215502845085744,0.4763565953830633,13781.238095238095,4984.0,723.8571428571429,0.041852880125217005,3
2021-01-19,2.0,39.86925928429393,0.4789159912620076,13600.285714285714,4930.0,694.7142857142857,0.08515290369693425,3
2021-01-20,2.0,39.5538050336417,0.48030197437120464,13407.904761904763,4816.0,669.7142857142857,0.14995076644770852,3
2021-01-21,3.0,41.98237646221313,0.47461252875820154,13202.952380952382,4767.0,636.0,0.19915845541074967,3
2021-01-22,3.0,43.63820959859709,0.4698454568503005,13000.476190476189,4749.0,609.0,0.23955336557989163,3
2021-01-23,3.0,45.02492345555741,0.46600075864750157,12806.380952380952,4639.0,595.7142857142857,0.2955143906266005,3
2021-01-24,3.0,46.14251803309406,0.46307843414980493,12628.857142857143,4607.0,580.1428571428571,0.3221319658890366,3
2021-01-25,3.0,46.99099333120707,0.46107848335721036,12429.42857142857,4604.0,564.7142857142857,0.36871963953497255,3
2021-01-26,3.0,47.570349349896425,0.46000090626971796,12248.095238095237,4559.0,538.2857142857143,0.4261338227557232,3
2021-01-27,3.0,47.880586089162115,0.4598457028873278,12046.761904761905,4487.0,517.0,0.4964868878638858,3
2021-01-28,4.0,47.880586089162115,0.4606128732100397,11824.476190476189,4428.0,484.0,0.5514891653404694,3
2021-01-29,4.0,47.83885436117723,0.4614786290094935,11598.95238095238,4367.0,461.7142857142857,0.6211721898005017,3
2021-01-30,4.0,47.71427344536544,0.462442970285689,11372.761904761905,4342.0,441.85714285714283,0.6855129332581171,3
2021-01-31,4.0,47.50684334172673,0.46350589703862644,11104.38095238095,4337.0,438.2857142857143,0.7233563960041278,3
2021-02-01,4.0,47.21656405026109,0.4646674092683056,10847.047619047618,4313.0,422.0,0.7980905886535654,3
2021-02-02,4.0,46.843435570968545,0.4659275069747265,10578.476190476193,4252.0,395.7142857142857,0.8790476184175048,3
2021-02-03,4.0,46.38745790384909,0.4672861901578894,10331.809523809523,4207.0,370.42857142857144,0.9974523418552199,3
2021-02-04,5.0,46.1017436181348,0.46874345881779395,10064.57142857143,4170.0,365.0,1.0846634853168773,3
2021-02-05,5.0,45.62690883955264,0.47020257925758246,9825.714285714286,4066.0,341.7142857142857,1.1787085622112592,3
2021-02-06,5.0,45.2160661373347,0.4716635514772549,9589.333333333332,3958.0,332.2857142857143,1.2371669021332254,3
2021-02-07,5.0,44.86921551148099,0.47312637547681125,9387.523809523811,3926.0,319.85714285714283,1.2675725528013384,3
2021-02-08,5.0,44.586356961991484,0.4745910512562515,9184.0,3951.0,309.42857142857144,1.3354968709282176,3
2021-02-09,5.0,44.36749048886622,0.47605757881557575,8972.761904761905,3840.0,296.85714285714283,1.4251187171885336,3
2021-02-10,5.0,44.21261609210516,0.4775259581547838,8738.476190476189,3732.0,277.14285714285717,1.5186381068957828,3
2021-02-11,6.0,44.06975894924801,0.47899618927387594,8521.714285714286,3668.0,258.0,1.6016497675879204,3
2021-02-12,6.0,43.97887662885118,0.48041037564732375,8263.238095238095,3546.0,249.57142857142858,1.6930459584729978,3
2021-02-13,6.0,43.88799430845434,0.4817685172751274,8017.809523809525,3479.0,238.42857142857142,1.748169733445921,3
2021-02-14,6.0,43.7971119880575,0.4830706141572869,7753.523809523809,3417.0,239.14285714285714,1.7792454247621643,3
2021-02-15,6.0,43.70622966766068,0.48431666629380227,7510.952380952382,3426.0,232.28571428571428,1.8462326483380678,3
2021-02-16,6.0,43.61534734726383,0.4855066736846735,7300.571428571428,3342.0,230.28571428571428,1.9142820727978114,3
2021-02-17,6.0,43.524465026867,0.48664063632990046,7151.619047619048,3239.0,225.71428571428572,1.9822364645623982,3
2021-02-18,7.0,43.38160788400985,0.4877185542294833,7022.857142857143,3169.0,216.14285714285714,2.046413607430883,3
