Date,Week,Age,Gender,Incidence,Intensive_Care,2nd_Vac,Lockdown-Intensity
2020-06-29,26.0,37.37464738713432,0.5456690323138138,3.764139590854392,329.0,0.0,1
2020-06-30,26.0,37.27931324945523,0.5410847899750173,3.661853188929001,333.0,0.0,1
2020-07-01,26.0,37.183979111776125,0.5367161771860322,3.6341756919374246,324.0,0.0,1
2020-07-02,27.0,37.04112196891898,0.5325631939468585,3.5210589651022866,325.0,0.0,1
2020-07-03,27.0,36.94578783123989,0.5297795280864667,3.3429602888086642,314.0,0.0,1
2020-07-04,27.0,36.85045369356079,0.5283651796048566,3.3044524669073407,320.0,0.0,1
2020-07-05,27.0,36.7551195558817,0.5283201485020285,3.233453670276775,299.0,0.0,1
2020-07-06,27.0,36.659785418202596,0.5296444347779822,3.1239470517448855,305.0,0.0,1
2020-07-07,27.0,36.5644512805235,0.5323380384327178,3.045728038507822,292.0,0.0,1
2020-07-08,27.0,36.469117142844404,0.5364009594662352,3.0072202166064983,287.0,0.0,1
2020-07-09,28.0,36.469117142844404,0.5418331978785345,2.949458483754513,272.0,0.0,1
2020-07-10,28.0,36.3737830051653,0.5458028140997682,2.948255114320096,276.0,0.0,1
2020-07-11,28.0,36.278448867486205,0.5483098081299362,2.927797833935018,253.0,0.0,1
2020-07-12,28.0,36.18311472980711,0.5493541799690386,2.914560770156438,254.0,0.0,1
2020-07-13,28.0,36.087780592128006,0.5489359296170754,2.916967509025271,263.0,0.0,1
2020-07-14,28.0,35.99244645444891,0.5470550570740466,3.0060168471720816,256.0,0.0,1
2020-07-15,28.0,35.897112316769814,0.5437115623399521,3.1143200962695547,246.0,0.0,1
2020-07-16,29.0,35.897112316769814,0.538905445414792,3.270758122743682,251.0,0.0,1
2020-07-17,29.0,35.80177817909072,0.5347651470935484,3.38748495788207,246.0,0.0,1
2020-07-18,29.0,35.706444041411615,0.5312906673762214,3.5860409145607703,246.0,0.0,1
2020-07-19,29.0,35.611109903732526,0.528482006262811,3.643802647412756,249.0,0.0,1
2020-07-20,29.0,35.51577576605343,0.5263391637533171,3.796630565583634,245.0,0.0,1
2020-07-21,29.0,35.42044162837433,0.5248621398477398,3.864019253910951,251.0,0.0,1
2020-07-22,29.0,35.32510749069523,0.524050934546079,4.055354993983153,248.0,0.0,1
2020-07-23,30.0,35.32510749069523,0.5239055478483348,4.223826714801444,234.0,0.0,1
2020-07-24,30.0,35.229773353016135,0.5233273468694402,4.565583634175692,235.0,0.0,1
2020-07-25,30.0,35.13443921533703,0.5223163316093953,4.687123947051745,247.0,0.0,1
2020-07-26,30.0,35.039105077657936,0.5208725020682002,4.725631768953068,265.0,0.0,1
2020-07-27,30.0,34.94377093997884,0.5189958582458547,4.814681107099879,257.0,0.0,1
2020-07-28,30.0,34.84843680229974,0.516686400142359,5.095066185318893,253.0,0.0,1
2020-07-29,30.0,34.75310266462065,0.5139441277577129,5.348977135980746,255.0,0.0,1
2020-07-30,31.0,34.75310266462065,0.5107690410919165,5.548736462093863,260.0,0.0,1
2020-07-31,31.0,34.657768526941545,0.5087780128465912,5.67870036101083,259.0,0.0,1
2020-08-01,31.0,34.56243438926245,0.5079710430217371,5.702767749699158,255.0,0.0,1
2020-08-02,31.0,34.467100251583354,0.508348131617354,5.815884476534296,267.0,0.0,1
